,smiles,MP
228,CCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,50.0
229,CCCCCCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,73.0
230,CCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,55.0
231,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],42.0
232,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],40.0
233,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,46.0
234,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,42.0
235,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,58.0
236,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,75.0
237,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],53.0
238,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,67.0
239,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,45.0
240,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,66.0
241,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,80.0
242,CCCCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],60.0
243,COC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,17.0
244,COC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,-21.0
245,C[n+]1ccn(C(F)(F)C(F)F)c1.[I-],141.0
246,C[n+]1ccn(C(F)(F)C(F)F)c1.F[B-](F)(F)F,64.0
247,C[n+]1ccn(C(F)(F)C(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,42.0
248,CC[n+]1ccn(C(F)(F)C(F)F)c1.[I-],91.0
249,CC[n+]1ccn(C(F)(F)C(F)F)c1.F[B-](F)(F)F,25.0
250,CC[n+]1ccn(C(F)(F)C(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,16.0
251,CCC[n+]1ccn(C(F)(F)C(F)F)c1.[I-],78.0
252,CCCC[n+]1ccn(C(F)(F)C(F)F)c1.[I-],74.0
253,CCOC(=O)[C@@H](C)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,45.0
254,CCOC(=O)[C@@H](C)[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,73.0
255,CCCCCCCCOCn1cc[n+](COCCCCCCCC)c1.F[B-](F)(F)F,54.0
